candidate_type,class,against,feature,candidate,mean_auc,std_auc,min_auc,max_auc,mean_strength,std_strength,min_strength,max_strength,direction,direction_consistency,candidate_score
PAIRWISE,04_Over_Saturated,06_Satellite,sharpness,PAIRWISE_CORE,0.054000000000000006,0.04079215610874228,0.0,0.1,0.892,0.08158431221748452,0.8,1.0,LOW,1.0,0.8832415687782516
CLASS_SPECIFIC,05_No_Star,ALL_OTHER_CLASSES,mean_aspect_ratio,CORE,0.041600000000000005,0.03978240817245734,0.012,0.119,0.9168,0.07956481634491465,0.762,0.976,LOW,1.0,0.8832035183655085
CLASS_SPECIFIC,05_No_Star,ALL_OTHER_CLASSES,median_fwhm,CORE,0.0658,0.01762271261752855,0.042,0.093,0.8684000000000001,0.0352454252350571,0.8140000000000001,0.916,LOW,1.0,0.8814554574764943
PAIRWISE,04_Over_Saturated,06_Satellite,std_intensity,PAIRWISE_CORE,0.066,0.02576819745345025,0.03,0.09,0.868,0.05153639490690048,0.8200000000000001,0.94,LOW,1.0,0.88144636050931
CLASS_SPECIFIC,04_Over_Saturated,ALL_OTHER_CLASSES,mean_intensity,CORE,0.059199999999999996,0.025848791074245616,0.034,0.102,0.8815999999999999,0.051697582148491225,0.796,0.9319999999999999,LOW,1.0,0.8803502417851509
PAIRWISE,02_Out_of_Focus,05_No_Star,mean_star_area,PAIRWISE_CORE,0.937,0.03295451410656815,0.905,1.0,0.8740000000000002,0.06590902821313631,0.81,1.0,HIGH,1.0,0.8797090971786865
CLASS_SPECIFIC,04_Over_Saturated,ALL_OTHER_CLASSES,background_mad,CORE,0.0634,0.02403830276870645,0.043,0.098,0.8732000000000001,0.048076605537412886,0.804,0.914,LOW,1.0,0.8793323394462588
PAIRWISE,04_Over_Saturated,06_Satellite,background_mad,PAIRWISE_CORE,0.055999999999999994,0.0348425027803687,0.01,0.11,0.8880000000000001,0.06968500556073737,0.78,0.98,LOW,1.0,0.8766314994439264
PAIRWISE,03_Tracking_Error,05_No_Star,max_aspect_ratio,PAIRWISE_CORE,0.951,0.04270831300812525,0.88,1.0,0.9019999999999999,0.0854166260162505,0.76,1.0,HIGH,1.0,0.8753583373983749
PAIRWISE,03_Tracking_Error,05_No_Star,star_count,PAIRWISE_CORE,0.9489999999999998,0.041036569057366384,0.88,1.0,0.8979999999999999,0.08207313811473277,0.76,1.0,HIGH,1.0,0.8738926861885267
PAIRWISE,03_Tracking_Error,05_No_Star,valid_profile_count,PAIRWISE_CORE,0.9489999999999998,0.041036569057366384,0.88,1.0,0.8979999999999999,0.08207313811473277,0.76,1.0,HIGH,1.0,0.8738926861885267
PAIRWISE,03_Tracking_Error,05_No_Star,bright_area_ratio,PAIRWISE_CORE,0.9479999999999998,0.0403236903073119,0.88,1.0,0.8959999999999999,0.0806473806146238,0.76,1.0,HIGH,1.0,0.8731352619385376
PAIRWISE,03_Tracking_Error,05_No_Star,mean_star_area,PAIRWISE_CORE,0.9479999999999998,0.0403236903073119,0.88,1.0,0.8959999999999999,0.0806473806146238,0.76,1.0,HIGH,1.0,0.8731352619385376
PAIRWISE,03_Tracking_Error,05_No_Star,mean_fwhm,PAIRWISE_CORE,0.9469999999999998,0.03867815921162743,0.88,0.99,0.8939999999999999,0.07735631842325486,0.76,0.98,HIGH,1.0,0.8725643681576745
CLASS_SPECIFIC,04_Over_Saturated,ALL_OTHER_CLASSES,background_median,CORE,0.0596,0.031039329889673842,0.03,0.113,0.8808,0.06207865977934768,0.774,0.94,LOW,1.0,0.8723521340220652
PAIRWISE,03_Tracking_Error,05_No_Star,mean_hfr,PAIRWISE_CORE,0.943,0.03487119154832538,0.88,0.98,0.8859999999999999,0.06974238309665076,0.76,0.96,HIGH,1.0,0.8697257616903349
CLASS_SPECIFIC,06_Satellite,ALL_OTHER_CLASSES,max_streak_length_ratio,CORE,0.9272,0.030320949853195545,0.902,0.984,0.8544,0.06064189970639109,0.804,0.968,HIGH,1.0,0.869615810029361
PAIRWISE,03_Tracking_Error,04_Over_Saturated,std_intensity,PAIRWISE_CORE,0.922,0.017204650534085233,0.9,0.95,0.8440000000000001,0.034409301068170466,0.8,0.8999999999999999,HIGH,1.0,0.866359069893183
PAIRWISE,01_Good,05_No_Star,elongated_radial_alignment,PAIRWISE_CORE,0.9199999999999999,0.024494897427831747,0.9,0.95,0.8399999999999999,0.048989794855663495,0.8,0.8999999999999999,HIGH,1.0,0.8631010205144336
PAIRWISE,01_Good,05_No_Star,elongated_star_count,PAIRWISE_CORE,0.9199999999999999,0.024494897427831747,0.9,0.95,0.8399999999999999,0.048989794855663495,0.8,0.8999999999999999,HIGH,1.0,0.8631010205144336
PAIRWISE,01_Good,05_No_Star,elongated_star_ratio,PAIRWISE_CORE,0.9199999999999999,0.024494897427831747,0.9,0.95,0.8399999999999999,0.048989794855663495,0.8,0.8999999999999999,HIGH,1.0,0.8631010205144336
CLASS_SPECIFIC,04_Over_Saturated,ALL_OTHER_CLASSES,sharpness,CORE,0.0744,0.026665333299998335,0.036,0.11,0.8512000000000001,0.05333066659999667,0.78,0.928,LOW,1.0,0.8617069333400004
PAIRWISE,04_Over_Saturated,06_Satellite,background_median,PAIRWISE_CORE,0.053000000000000005,0.04894895300208167,0.0,0.14,0.8939999999999999,0.09789790600416334,0.72,1.0,LOW,1.0,0.8585102093995837
CLASS_SPECIFIC,05_No_Star,ALL_OTHER_CLASSES,median_hfr,CORE,0.0814,0.018260339536821324,0.056,0.109,0.8371999999999999,0.036520679073642634,0.782,0.888,LOW,1.0,0.8576879320926357
PAIRWISE,03_Tracking_Error,05_No_Star,mean_intensity,PAIRWISE_CORE,0.038,0.06144916598294887,0.0,0.16,0.924,0.12289833196589775,0.6799999999999999,1.0,LOW,1.0,0.8575101668034103
PAIRWISE,02_Out_of_Focus,05_No_Star,elongated_radial_alignment,PAIRWISE_CORE,0.9099999999999999,0.019999999999999973,0.9,0.95,0.82,0.039999999999999945,0.8,0.8999999999999999,HIGH,1.0,0.855
PAIRWISE,02_Out_of_Focus,05_No_Star,elongated_star_count,PAIRWISE_CORE,0.9099999999999999,0.019999999999999973,0.9,0.95,0.82,0.039999999999999945,0.8,0.8999999999999999,HIGH,1.0,0.855
PAIRWISE,02_Out_of_Focus,05_No_Star,elongated_star_ratio,PAIRWISE_CORE,0.9099999999999999,0.019999999999999973,0.9,0.95,0.82,0.039999999999999945,0.8,0.8999999999999999,HIGH,1.0,0.855
PAIRWISE,03_Tracking_Error,05_No_Star,mean_hollowness,PAIRWISE_CORE,0.938,0.047497368348151665,0.86,1.0,0.8759999999999998,0.09499473669630334,0.72,1.0,HIGH,1.0,0.8507005263303695
PAIRWISE,04_Over_Saturated,05_No_Star,mean_circularity,PAIRWISE_CORE,0.922,0.03599999999999998,0.88,0.98,0.844,0.07199999999999997,0.76,0.96,HIGH,1.0,0.8505999999999999
