class_a,class_b,feature,mean_auc,std_auc,min_auc,max_auc,mean_strength,std_strength,min_strength,max_strength,direction,direction_consistency,candidate_score
01_Good,06_Satellite,std_intensity,0.548,0.06910861017268399,0.46,0.67,0.12800000000000006,0.10925200226998133,0.040000000000000036,0.3400000000000001,HIGH,0.8,0.2786747997730019
01_Good,06_Satellite,streak_count,0.13,0.02449489742783178,0.1,0.15,0.74,0.048989794855663606,0.7,0.8,LOW,1.0,0.7881010205144336
01_Good,06_Satellite,valid_profile_count,0.51,0.054037024344425214,0.41,0.56,0.09200000000000005,0.06013318551349165,0.0,0.18000000000000005,HIGH,0.75,0.24788668144865084
02_Out_of_Focus,03_Tracking_Error,axis_aligned_line_ratio,0.625,0.06033241251599344,0.52,0.68,0.25000000000000006,0.12066482503198689,0.040000000000000036,0.3600000000000001,HIGH,1.0,0.36243351749680136
02_Out_of_Focus,03_Tracking_Error,background_mad,0.24200000000000005,0.06910861017268398,0.155,0.36,0.516,0.13821722034536793,0.28,0.69,LOW,1.0,0.5523782779654632
02_Out_of_Focus,03_Tracking_Error,background_median,0.22200000000000003,0.038026306683663094,0.16,0.28,0.556,0.07605261336732617,0.43999999999999995,0.6799999999999999,LOW,1.0,0.6245947386632674
02_Out_of_Focus,03_Tracking_Error,bright_area_ratio,0.5519999999999999,0.1321589951535649,0.38,0.71,0.252,0.13105723940324696,0.09000000000000008,0.41999999999999993,HIGH,0.6,0.3172942760596753
02_Out_of_Focus,03_Tracking_Error,diagonal_line_ratio,0.24499999999999997,0.08843076387773657,0.15,0.385,0.51,0.17686152775547315,0.22999999999999998,0.7,LOW,1.0,0.5308138472244527
02_Out_of_Focus,03_Tracking_Error,elongated_angle_consistency,0.45099999999999996,0.07282856582413248,0.385,0.58,0.16199999999999998,0.06764613810115103,0.040000000000000036,0.22999999999999998,LOW,0.8,0.2981353861898849
02_Out_of_Focus,03_Tracking_Error,elongated_angle_std,0.5489999999999999,0.0728285658241325,0.42,0.615,0.16199999999999998,0.06764613810115104,0.040000000000000036,0.22999999999999998,HIGH,0.8,0.2981353861898849
02_Out_of_Focus,03_Tracking_Error,elongated_radial_alignment,0.49000000000000005,0.08074651695274537,0.4,0.59,0.14799999999999996,0.06764613810115103,0.020000000000000018,0.19999999999999996,LOW,0.6,0.2558353861898849
02_Out_of_Focus,03_Tracking_Error,elongated_star_count,0.495,0.1033440854621105,0.355,0.645,0.178,0.10552724766618338,0.010000000000000009,0.29000000000000004,LOW,0.6,0.26254727523338167
02_Out_of_Focus,03_Tracking_Error,elongated_star_ratio,0.6,0.053197744313081566,0.525,0.68,0.2,0.10639548862616313,0.050000000000000044,0.3600000000000001,HIGH,1.0,0.34436045113738367
02_Out_of_Focus,03_Tracking_Error,line_angle_std,0.5710000000000001,0.05851495535331117,0.47,0.62,0.166,0.07939773296511679,0.06000000000000005,0.24,HIGH,0.8,0.30476022670348835
02_Out_of_Focus,03_Tracking_Error,long_line_count,0.55,0.06465291950097846,0.475,0.635,0.13999999999999999,0.08438009243891592,0.050000000000000044,0.27,HIGH,0.6,0.2595619907561084
02_Out_of_Focus,03_Tracking_Error,longest_line_ratio,0.399,0.07651143705355429,0.29,0.495,0.202,0.15302287410710858,0.010000000000000009,0.42000000000000004,LOW,1.0,0.32859771258928916
02_Out_of_Focus,03_Tracking_Error,max_aspect_ratio,0.564,0.1011137972781163,0.45,0.725,0.172,0.16642115250171774,0.010000000000000009,0.44999999999999996,HIGH,0.6,0.25375788474982824
02_Out_of_Focus,03_Tracking_Error,max_streak_area_ratio,0.466,0.06343500610861484,0.36,0.55,0.10800000000000003,0.09516301802696256,0.020000000000000018,0.28,LOW,0.8,0.26508369819730376
02_Out_of_Focus,03_Tracking_Error,max_streak_aspect_ratio,0.246,0.1155162326255492,0.07,0.43,0.508,0.2310324652510984,0.14,0.86,LOW,1.0,0.49749675347489014
02_Out_of_Focus,03_Tracking_Error,max_streak_length_ratio,0.30000000000000004,0.059665735560705195,0.23,0.4,0.4,0.1193314711214104,0.19999999999999996,0.54,LOW,1.0,0.478066852887859
02_Out_of_Focus,03_Tracking_Error,mean_aspect_ratio,0.5599999999999999,0.05958187643906493,0.495,0.655,0.12400000000000003,0.1149956520917204,0.010000000000000009,0.31000000000000005,HIGH,0.8,0.267300434790828
02_Out_of_Focus,03_Tracking_Error,mean_circularity,0.41200000000000003,0.09942836617384397,0.295,0.58,0.24,0.11366617790706261,0.07999999999999996,0.41000000000000003,LOW,0.8,0.34063338220929373
02_Out_of_Focus,03_Tracking_Error,mean_fwhm,0.4669999999999999,0.10351811435686027,0.3,0.6,0.17,0.13535139452550904,0.010000000000000009,0.4,LOW,0.6,0.2559648605474491
02_Out_of_Focus,03_Tracking_Error,mean_hfr,0.38499999999999995,0.12441864811996632,0.21,0.6,0.31,0.1368210510118966,0.19999999999999996,0.5800000000000001,LOW,0.8,0.40581789489881037
02_Out_of_Focus,03_Tracking_Error,mean_hollowness,0.6869999999999999,0.07560423268574318,0.6,0.82,0.37399999999999994,0.15120846537148636,0.19999999999999996,0.6399999999999999,HIGH,1.0,0.4631791534628513
02_Out_of_Focus,03_Tracking_Error,mean_intensity,0.21600000000000003,0.03929376540877701,0.16,0.28,0.568,0.078587530817554,0.43999999999999995,0.6799999999999999,LOW,1.0,0.6297412469182446
02_Out_of_Focus,03_Tracking_Error,mean_star_area,0.546,0.07248448109768049,0.445,0.64,0.14400000000000002,0.09350935782048767,0.020000000000000018,0.28,HIGH,0.6,0.2514490642179512
02_Out_of_Focus,03_Tracking_Error,median_eccentricity,0.551,0.12109500402576483,0.37,0.73,0.21400000000000002,0.1525254077195009,0.020000000000000018,0.45999999999999996,HIGH,0.6,0.27704745922804996
02_Out_of_Focus,03_Tracking_Error,median_fwhm,0.519,0.12084701072016636,0.33,0.65,0.20200000000000004,0.13804347141389917,0.010000000000000009,0.33999999999999997,LOW,0.6,0.2700956528586101
02_Out_of_Focus,03_Tracking_Error,median_fwhm_ratio,0.5589999999999999,0.1217538500417954,0.37,0.73,0.22999999999999998,0.14254823744964368,0.020000000000000018,0.45999999999999996,HIGH,0.6,0.28524517625503565
02_Out_of_Focus,03_Tracking_Error,median_hfr,0.413,0.11805083650698964,0.23,0.59,0.246,0.15969971822141704,0.06000000000000005,0.54,LOW,0.8,0.33273002817785835
02_Out_of_Focus,03_Tracking_Error,saturated_ratio,0.31300000000000006,0.057061370470748426,0.235,0.4,0.374,0.11412274094149685,0.19999999999999996,0.53,LOW,1.0,0.46688772590585026
02_Out_of_Focus,03_Tracking_Error,sharpness,0.26399999999999996,0.098508882848198,0.16,0.43,0.4720000000000001,0.19701776569639598,0.14,0.6799999999999999,LOW,1.0,0.4846982234303604
02_Out_of_Focus,03_Tracking_Error,star_count,0.441,0.1475262688472802,0.25,0.61,0.2859999999999999,0.1385063175454463,0.12,0.5,LOW,0.6,0.34084936824545536
02_Out_of_Focus,03_Tracking_Error,std_intensity,0.22999999999999998,0.05477225575051661,0.17,0.33,0.54,0.10954451150103323,0.33999999999999997,0.6599999999999999,LOW,1.0,0.5840455488498967
02_Out_of_Focus,03_Tracking_Error,streak_count,0.45,0.031622776601683784,0.4,0.5,0.09999999999999998,0.06324555320336757,0.0,0.19999999999999996,LOW,1.0,0.2886754446796632
