class,feature,fold,auc,strength,direction,n_positive,n_negative
02_Out_of_Focus,mean_hfr,5,0.436,0.128,LOW,10,50
02_Out_of_Focus,mean_hollowness,1,0.695,0.3899999999999999,HIGH,10,50
02_Out_of_Focus,mean_hollowness,2,0.875,0.75,HIGH,10,50
02_Out_of_Focus,mean_hollowness,3,0.713,0.42599999999999993,HIGH,10,50
02_Out_of_Focus,mean_hollowness,4,0.7,0.3999999999999999,HIGH,10,50
02_Out_of_Focus,mean_hollowness,5,0.708,0.4159999999999999,HIGH,10,50
02_Out_of_Focus,mean_intensity,1,0.238,0.524,LOW,10,50
02_Out_of_Focus,mean_intensity,2,0.326,0.348,LOW,10,50
02_Out_of_Focus,mean_intensity,3,0.3,0.4,LOW,10,50
02_Out_of_Focus,mean_intensity,4,0.326,0.348,LOW,10,50
02_Out_of_Focus,mean_intensity,5,0.302,0.396,LOW,10,50
02_Out_of_Focus,mean_star_area,1,0.628,0.256,HIGH,10,50
02_Out_of_Focus,mean_star_area,2,0.706,0.4119999999999999,HIGH,10,50
02_Out_of_Focus,mean_star_area,3,0.563,0.1259999999999999,HIGH,10,50
02_Out_of_Focus,mean_star_area,4,0.624,0.248,HIGH,10,50
02_Out_of_Focus,mean_star_area,5,0.522,0.04400000000000004,HIGH,10,50
02_Out_of_Focus,median_eccentricity,1,0.634,0.268,HIGH,10,50
02_Out_of_Focus,median_eccentricity,2,0.618,0.236,HIGH,10,50
02_Out_of_Focus,median_eccentricity,3,0.483,0.03400000000000003,LOW,10,50
02_Out_of_Focus,median_eccentricity,4,0.644,0.28800000000000003,HIGH,10,50
02_Out_of_Focus,median_eccentricity,5,0.634,0.268,HIGH,10,50
02_Out_of_Focus,median_fwhm,1,0.64,0.28,HIGH,10,50
02_Out_of_Focus,median_fwhm,2,0.754,0.508,HIGH,10,50
02_Out_of_Focus,median_fwhm,3,0.573,0.1459999999999999,HIGH,10,50
02_Out_of_Focus,median_fwhm,4,0.682,0.3640000000000001,HIGH,10,50
02_Out_of_Focus,median_fwhm,5,0.51,0.020000000000000018,HIGH,10,50
02_Out_of_Focus,median_fwhm_ratio,1,0.662,0.32400000000000007,HIGH,10,50
02_Out_of_Focus,median_fwhm_ratio,2,0.618,0.236,HIGH,10,50
02_Out_of_Focus,median_fwhm_ratio,3,0.483,0.03400000000000003,LOW,10,50
02_Out_of_Focus,median_fwhm_ratio,4,0.644,0.28800000000000003,HIGH,10,50
02_Out_of_Focus,median_fwhm_ratio,5,0.64,0.28,HIGH,10,50
02_Out_of_Focus,median_hfr,1,0.56,0.1200000000000001,HIGH,10,50
02_Out_of_Focus,median_hfr,2,0.628,0.256,HIGH,10,50
02_Out_of_Focus,median_hfr,3,0.507,0.014000000000000012,HIGH,10,50
02_Out_of_Focus,median_hfr,4,0.596,0.19199999999999995,HIGH,10,50
02_Out_of_Focus,median_hfr,5,0.484,0.03200000000000003,LOW,10,50
02_Out_of_Focus,saturated_ratio,1,0.291,0.41800000000000004,LOW,10,50
02_Out_of_Focus,saturated_ratio,2,0.384,0.23199999999999998,LOW,10,50
02_Out_of_Focus,saturated_ratio,3,0.304,0.392,LOW,10,50
02_Out_of_Focus,saturated_ratio,4,0.35,0.30000000000000004,LOW,10,50
02_Out_of_Focus,saturated_ratio,5,0.349,0.30200000000000005,LOW,10,50
02_Out_of_Focus,sharpness,1,0.288,0.42400000000000004,LOW,10,50
02_Out_of_Focus,sharpness,2,0.282,0.43600000000000005,LOW,10,50
02_Out_of_Focus,sharpness,3,0.374,0.252,LOW,10,50
02_Out_of_Focus,sharpness,4,0.338,0.32399999999999995,LOW,10,50
02_Out_of_Focus,sharpness,5,0.306,0.388,LOW,10,50
02_Out_of_Focus,star_count,1,0.374,0.252,LOW,10,50
