class_a,class_b,feature,fold,auc,strength,direction,n_a,n_b
01_Good,03_Tracking_Error,background_mad,1,0.655,0.31000000000000005,HIGH,10,10
01_Good,03_Tracking_Error,background_mad,2,0.49,0.020000000000000018,LOW,10,10
01_Good,03_Tracking_Error,background_mad,3,0.66,0.32000000000000006,HIGH,10,10
01_Good,03_Tracking_Error,background_mad,4,0.355,0.29000000000000004,LOW,10,10
01_Good,03_Tracking_Error,background_mad,5,0.33,0.33999999999999997,LOW,10,10
01_Good,03_Tracking_Error,background_median,1,0.705,0.4099999999999999,HIGH,10,10
01_Good,03_Tracking_Error,background_median,2,0.46,0.07999999999999996,LOW,10,10
01_Good,03_Tracking_Error,background_median,3,0.68,0.3600000000000001,HIGH,10,10
01_Good,03_Tracking_Error,background_median,4,0.435,0.13,LOW,10,10
01_Good,03_Tracking_Error,background_median,5,0.385,0.22999999999999998,LOW,10,10
01_Good,03_Tracking_Error,bright_area_ratio,1,0.42,0.16000000000000003,LOW,10,10
01_Good,03_Tracking_Error,bright_area_ratio,2,0.54,0.08000000000000007,HIGH,10,10
01_Good,03_Tracking_Error,bright_area_ratio,3,0.36,0.28,LOW,10,10
01_Good,03_Tracking_Error,bright_area_ratio,4,0.69,0.3799999999999999,HIGH,10,10
01_Good,03_Tracking_Error,bright_area_ratio,5,0.5,0.0,NONE,10,10
01_Good,03_Tracking_Error,diagonal_line_ratio,1,0.61,0.21999999999999997,HIGH,10,10
01_Good,03_Tracking_Error,diagonal_line_ratio,2,0.56,0.1200000000000001,HIGH,10,10
01_Good,03_Tracking_Error,diagonal_line_ratio,3,0.65,0.30000000000000004,HIGH,10,10
01_Good,03_Tracking_Error,diagonal_line_ratio,4,0.48,0.040000000000000036,LOW,10,10
01_Good,03_Tracking_Error,diagonal_line_ratio,5,0.44,0.12,LOW,10,10
01_Good,03_Tracking_Error,elongated_angle_consistency,1,0.395,0.20999999999999996,LOW,10,10
01_Good,03_Tracking_Error,elongated_angle_consistency,2,0.4,0.19999999999999996,LOW,10,10
01_Good,03_Tracking_Error,elongated_angle_consistency,3,0.35,0.30000000000000004,LOW,10,10
01_Good,03_Tracking_Error,elongated_angle_consistency,4,0.45,0.09999999999999998,LOW,10,10
01_Good,03_Tracking_Error,elongated_angle_consistency,5,0.435,0.13,LOW,10,10
01_Good,03_Tracking_Error,elongated_angle_std,1,0.605,0.20999999999999996,HIGH,10,10
01_Good,03_Tracking_Error,elongated_angle_std,2,0.6,0.19999999999999996,HIGH,10,10
01_Good,03_Tracking_Error,elongated_angle_std,3,0.65,0.30000000000000004,HIGH,10,10
01_Good,03_Tracking_Error,elongated_angle_std,4,0.55,0.10000000000000009,HIGH,10,10
01_Good,03_Tracking_Error,elongated_angle_std,5,0.565,0.1299999999999999,HIGH,10,10
01_Good,03_Tracking_Error,elongated_radial_alignment,1,0.42,0.16000000000000003,LOW,10,10
01_Good,03_Tracking_Error,elongated_radial_alignment,2,0.58,0.15999999999999992,HIGH,10,10
01_Good,03_Tracking_Error,elongated_radial_alignment,3,0.37,0.26,LOW,10,10
01_Good,03_Tracking_Error,elongated_radial_alignment,4,0.51,0.020000000000000018,HIGH,10,10
01_Good,03_Tracking_Error,elongated_radial_alignment,5,0.38,0.24,LOW,10,10
01_Good,03_Tracking_Error,elongated_star_count,1,0.365,0.27,LOW,10,10
01_Good,03_Tracking_Error,elongated_star_count,2,0.495,0.010000000000000009,LOW,10,10
01_Good,03_Tracking_Error,elongated_star_count,3,0.405,0.18999999999999995,LOW,10,10
01_Good,03_Tracking_Error,elongated_star_count,4,0.54,0.08000000000000007,HIGH,10,10
01_Good,03_Tracking_Error,elongated_star_count,5,0.46,0.07999999999999996,LOW,10,10
01_Good,03_Tracking_Error,elongated_star_ratio,1,0.31,0.38,LOW,10,10
